Country,Albania,Algeria,American Samoa,Andorra,Argentina,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bermuda,Bolivia,Bosnia,Brazil,British Virgin Islands,Bulgaria,Cameroon,Canada,Cayman Islands,Chile,China,Chinese Taipei,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Czechoslovakia,Denmark ,Dominica,East Germany,Egypt,Estonia,Ethiopia,Fiji,Finland,France,Georgia,Germany,Ghana,Great Britain,Greece,Guam,Guatemala,Honduras,Hong Kong,Hungary,Iceland,India,Individual Olympic Athletes,Iran,Ireland,Israel,Italy,Jamaica,Japan,Kazakhstan,Kenya,Kyrgyzstan,Latvia,Lebanon,Liechtenstein,Lithuania,Luxemburg,"Macedonia, the former Yugoslav Republic of",Madagascar,Malta,Mexico,Moldova,Monaco,Mongolia,Montenegro,Morocco,Nepal,Netherlands,Netherlands Antilles,New Zealand,North Korea,Norway,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,San Marino,Senegal,Serbia,Serbia and Montenegro,Slovakia,Slovenia,South Africa,South Korea,Soviet Union,Spain,Swaziland,Sweden,Switzerland,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago ,Turkey,Ukraine,Unified Team,United States,Uruguay,Uzbekistan,Venezuela,West Germany,Virgin Islands,Yugoslavia,Zimbabwe,
Distance,,,,,7209.420806,,,175.0092116,,,400.5975259,,,,,,,,3962.043431,,,,,,,,,,344.5939489,,,,,1091.44333,,,1358.219002,375.914119,,313.4006407,,734.7182779,,,,,,482.477882,,,,,,,293.2263184,,5895.831203,,,,969.4783108,,,895.031904,281.1911772,,,,6032.622267,,,,,,,453.3211313,,,,1071.573894,,,,,594.9216167,,,724.7666678,,,,,,474.6101215,,,,,,,1090.846145,93.46414581,,,,,,,,,,5058.546412,,,,,,526.0792006,,
1932,,,,,,,,7,,,5,,,,,,,,42,,,,,,,,,,6,,,,,,,,7,8,,20,,4,,,,,,4,,,,,,,12,,16,,,,5,,,,4,,,,,,,,,,,,,,,19,,,,,15,,,1,,,,,,,,,,,,,12,7,,,,,,,,,,65,,,,,,,,65
Men,,,,,,,,6,,,4,,,,,,,,38,,,,,,,,,,6,,,,,,,,7,7,,20,,0,,,,,,2,,,,,,,12,,16,,,,5,,,,4,,,,,,,,,,,,,,,18,,,,,15,,,1,,,,,,,,,,,,,11,7,,,,,,,,,,58,,,,,,,,
Women,,,,,,,,1,,,1,,,,,,,,4,,,,,,,,,,0,,,,,,,,0,1,,0,,4,,,,,,2,,,,,,,0,,0,,,,0,,,,0,,,,,,,,,,,,,,,1,,,,,0,,,0,,,,,,,,,,,,,1,0,,,,,,,,,,6,,,,,,,,
Sports,,,,,,,,5,,,2,,,,,,,,6,,,,,,,,,,4,,,,,,,,3,3,,3,,1,,,,,,1,,,,,,,4,,5,,,,2,,,,2,,,,,,,,,,,,,,,5,,,,,4,,,1,,,,,,,,,,,,,5,3,,,,,,,,,,8,,,,,,,,
Gold,,,,,,,,1,,,0,,,,,,,,1,,,,,,,,,,0,,,,,,,,1,1,,0,,0,,,,,,0,,,,,,,0,,0,,,,0,,,,0,,,,,,,,,,,,,,,3,,,,,0,,,0,,,,,,,,,,,,,1,0,,,,,,,,,,6,,,,,,,,
Silver,,,,,,,,1,,,0,,,,,,,,1,,,,,,,,,,0,,,,,,,,1,0,,0,,0,,,,,,0,,,,,,,0,,0,,,,1,,,,0,,,,,,,,,,,,,,,4,,,,,0,,,0,,,,,,,,,,,,,2,1,,,,,,,,,,4,,,,,,,,
Bronze,,,,,,,,0,,,0,,,,,,,,5,,,,,,,,,,0,,,,,,,,1,0,,2,,0,,,,,,0,,,,,,,0,,0,,,,0,,,,0,,,,,,,,,,,,,,,3,,,,,0,,,0,,,,,,,,,,,,,0,0,,,,,,,,,,2,,,,,,,,
Total M,,,,,,,,2,,,0,,,,,,,,7,,,,,,,,,,0,,,,,,,,3,1,,2,,0,,,,,,0,,,,,,,0,,0,,,,1,,,,0,,,,,,,,,,,,,,,10,,,,,0,,,0,,,,,,,,,,,,,3,1,,,,,,,,,,12,,,,,,,,12
Distance,,,,,,,,3980.676167,,,3494.332253,,,,,,,,1392.755686,,,,,,,,,,3976.192047,,,,,,,,3804.321961,3559.404532,,3684.644204,,3178.135097,,,,,,4253.601127,,,,,,,4130.353725,,6542.373796,,,,4034.033999,,,,3613.128946,,,,,,,,,,,,,,,3410.203684,,,,,4057.767866,,,4484.936816,,,,,,,,,,,,,3560.615684,3777.319997,,,,,,,,,,1269.37774,,,,,,,,
1936,,,,,,,1,60,,,27,,,,,,7,,29,,,,,,,,,,44,,,,,5,,,19,28,,55,,38,1,,,,,25,,,,,,,40,,31,,,,26,,4,,,,,,,,,,,,,8,,,,31,,,,,20,,,15,,,,,,,,,,,6,,32,34,,,,,,,6,,,55,,,,,,17,,60
Men,,,,,,,1,50,,,24,,,,,,7,,22,,,,,,,,,,39,,,,,3,,,19,28,,48,,28,1,,,,,22,,,,,,,35,,30,,,,23,,4,,,,,,,,,,,,,7,,,,25,,,,,20,,,14,,,,,,,,,,,4,,31,30,,,,,,,6,,,46,,,,,,17,,
Women,,,,,,,0,10,,,3,,,,,,0,,7,,,,,,,,,,5,,,,,2,,,0,0,,7,,10,0,,,,,3,,,,,,,5,,1,,,,3,,0,,,,,,,,,,,,,1,,,,6,,,,,0,,,1,,,,,,,,,,,2,,1,4,,,,,,,0,,,9,,,,,,0,,
Sports,,,,,,,1,8,,,5,,,,,,2,,7,,,,,,,,,,8,,,,,4,,,5,4,,8,,6,2,,,,,5,,,,,,,7,,7,,,,6,,2,,,,,,,,,,,,,3,,,,6,,,,,6,,,5,,,,,,,,,,,2,,7,7,,,,,,,2,,,8,,,,,,4,,
Gold,,,,,,,0,1,,,0,,,,,,0,,0,,,,,,,,,,0,,,,,0,,,1,0,,3,,1,0,,,,,0,,,,,,,0,,0,,,,0,,0,,,,,,,,,,,,,0,,,,7,,,,,0,,,0,,,,,,,,,,,0,,2,1,,,,,,,0,,,1,,,,,,0,,
Silver,,,,,,,0,1,,,0,,,,,,0,,1,,,,,,,,,,0,,,,,0,,,2,0,,3,,1,0,,,,,0,,,,,,,0,,0,,,,0,,0,,,,,,,,,,,,,0,,,,5,,,,,0,,,0,,,,,,,,,,,0,,2,2,,,,,,,0,,,0,,,,,,0,,
Bronze,,,,,,,0,2,,,0,,,,,,0,,0,,,,,,,,,,0,,,,,0,,,3,1,,0,,1,0,,,,,1,,,,,,,0,,0,,,,0,,0,,,,,,,,,,,,,0,,,,3,,,,,0,,,0,,,,,,,,,,,0,,3,0,,,,,,,0,,,3,,,,,,0,,
Total M,,,,,,,0,4,,,0,,,,,,0,,1,,,,,,,,,,0,,,,,0,,,6,1,,6,,3,0,,,,,1,,,,,,,0,,0,,,,0,,0,,,,,,,,,,,,,0,,,,15,,,,,0,,,0,,,,,,,,,,,0,,7,3,,,,,,,0,,,4,,,,,,0,,15
Distance,,,,,,,9040.131369,105.8787177,,,394.2106089,,,,,,743.9496805,,3939.225035,,,,,,,,,,254.7371978,,,,,1001.608113,,,1272.496051,442.2963837,,259.5581807,,725.6961544,803.129825,,,,,419.6278403,,,,,,,333.6813789,,5804.991083,,,,878.8771781,,76.18876076,,,,,,,,,,,,,418.8549371,,,,1003.317561,,,,,504.7854411,1100.966069,,666.3853875,,,,,,,,,,,911.9205677,,1014.073963,148.7510332,,,,,,,1332.656765,,,5062.015085,,,,,,485.3988378,,
1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
