Country,American Samoa,Canada,Costa Rica,Dominica,Guam,Guatemala,Honduras,Jamaica,Mexico,Puerto Rico,Trinidad and Tobago ,United States,Virgin Islands,Argentina,Bolivia,Brazil,Chile,Colombia,Paraguay,Peru,Uruguay,Venezuela,Algeria,Cameroon,Egypt,Ethiopia,Ghana,Kenya,Madagascar,Morocco,Senegal,South Africa,Swaziland,Togo,Zimbabwe,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bermuda,Bosnia,British Virgin Islands,Bulgaria,Cayman Islands,Croatia,Cyprus,Czech Republic,Czechoslovakia,Denmark ,East Germany,Estonia,Finland,France,Georgia,Germany,Great Britain,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxemburg,"Macedonia, the former Yugoslav Republic of",Malta,Moldova,Monaco,Montenegro,Netherlands,Netherlands Antilles,Norway,Poland,Portugal,Romania,San Marino,Serbia,Serbia and Montenegro,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,West Germany,Yugoslavia,China,Chinese Taipei,Hong Kong,India,Iran,Israel,Japan,Kazakhstan,Kyrgyzstan,Lebanon,Mongolia,Nepal,North Korea,Pakistan,Philippines,Russia,South Korea,Soviet Union,Tajikistan,Thailand,Timor-Leste,Turkey,Uzbekistan,Australia,Fiji,New Zealand,Tonga,Individual Olympic Athletes,Unified Team
1928,,23,,,,,,,5,,,24,,10,,,,,,,,,,,,,,,,,,,,,,,,,39,,,25,,,,,,,,,25,,,2,18,38,,44,32,,13,,,13,1,,1,5,,,,,,7,,25,26,,10,,,,25,,,24,41,,,6,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
Men,,20,,,,,,,5,,,21,,10,,,,,,,,,,,,,,,,,,,,,,,,,34,,,24,,,,,,,,,24,,,2,17,36,,39,30,,13,,,13,1,,1,5,,,,,,7,,22,26,,10,,,,24,,,24,40,,,6,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
Women,,3,,,,,,,0,,,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,1,,,0,1,2,,5,2,,0,,,0,0,,0,0,,,,,,0,,3,0,,0,,,,1,,,0,1,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sports,,6,,,,,,,1,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,8,,,3,,,,,,,,,5,,,1,5,8,,7,5,,4,,,5,1,,1,1,,,,,,2,,5,5,,1,,,,,,,6,7,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Gold,,1,,,,,,,0,,,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,0,,,0,2,1,,0,0,,0,,,0,0,,0,0,,,,,,0,,6,0,,0,,,,0,,,2,0,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Silver,,0,,,,,,,0,,,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0,,,,,,,,,0,,,0,1,0,,0,0,,0,,,0,0,,0,0,,,,,,0,,4,0,,0,,,,0,,,2,0,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Bronze,,0,,,,,,,0,,,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,0,1,0,,1,1,,0,,,0,0,,0,0,,,,,,0,,5,0,,0,,,,1,,,1,1,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Total M,,1,,,,,,,0,,,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,1,,,0,4,1,,1,1,,0,,,0,0,,0,0,,,,,,0,,15,0,,0,,,,1,,,5,1,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Distance,,3962.043431,,,,,,,6032.622267,,,5058.546412,,7209.420806,,,,,,,,,,,,,,,,,,,,,,,,,175.0092116,,,400.5975259,,,,,,,,,344.5939489,,,1091.44333,1358.219002,375.914119,,313.4006407,734.7182779,,482.477882,,,293.2263184,969.4783108,,895.031904,281.1911772,,,,,,453.3211313,,1071.573894,594.9216167,,724.7666678,,,,474.6101215,,,1090.846145,93.46414581,,,526.0792006,,,,,,,5895.831203,,,,,,,,,,,,,,,,,,,,,,
1932,,42,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,5,,,,,,,,,6,,,,7,8,,20,4,,4,,,12,5,,,4,,,,,,,,19,15,,1,,,,,,,12,7,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,
Men,,38,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,4,,,,,,,,,6,,,,7,7,,20,0,,2,,,12,5,,,4,,,,,,,,18,15,,1,,,,,,,11,7,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,
Women,,4,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,0,,,,0,1,,0,4,,2,,,0,0,,,0,,,,,,,,1,0,,0,,,,,,,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sports,,6,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,2,,,,,,,,,4,,,,3,3,,3,1,,1,,,4,2,,,2,,,,,,,,5,4,,1,,,,,,,5,3,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
Gold,,1,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,0,,,,1,1,,0,0,,0,,,0,0,,,0,,,,,,,,3,0,,0,,,,,,,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Silver,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,0,,,,1,0,,0,0,,0,,,0,1,,,0,,,,,,,,4,0,,0,,,,,,,2,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Bronze,,5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,0,,,,1,0,,2,0,,0,,,0,0,,,0,,,,,,,,3,0,,0,,,,,,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Total M,,7,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,,,,,,,,,0,,,,3,1,,2,0,,0,,,0,1,,,0,,,,,,,,10,0,,0,,,,,,,3,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Distance,,1392.755686,,,,,,,,,,1269.37774,,,,,,,,,,,,,,,,,,,,,,,,,,,3980.676167,,,3494.332253,,,,,,,,,3976.192047,,,,3804.321961,3559.404532,,3684.644204,3178.135097,,4253.601127,,,4130.353725,4034.033999,,,3613.128946,,,,,,,,3410.203684,4057.767866,,4484.936816,,,,,,,3560.615684,3777.319997,,,,,,,,,,6542.373796,,,,,,,,,,,,,,,,,,,,,,
1936,,29,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,27,,,,7,,,,,44,,,5,19,28,,55,38,1,25,,,40,26,4,,,,,,,,8,,31,20,,15,,,,,,6,32,34,,,17,,,,,,,31,,,,,,,,,,,,,,,6,,1,,,,,
Men,,22,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,24,,,,7,,,,,39,,,3,19,28,,48,28,1,22,,,35,23,4,,,,,,,,7,,25,20,,14,,,,,,4,31,30,,,17,,,,,,,30,,,,,,,,,,,,,,,6,,1,,,,,
Women,,7,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,3,,,,0,,,,,5,,,2,0,0,,7,10,0,3,,,5,3,0,,,,,,,,1,,6,0,,1,,,,,,2,1,4,,,0,,,,,,,1,,,,,,,,,,,,,,,0,,0,,,,,
Sports,,7,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,5,,,,2,,,,,8,,,4,5,4,,8,6,2,5,,,7,6,2,,,,,,,,3,,6,6,,5,,,,,,2,7,7,,,4,,,,,,,7,,,,,,,,,,,,,,,2,,1,,,,,
Gold,,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,0,,,,,0,,,0,1,0,,3,1,0,0,,,0,0,0,,,,,,,,0,,7,0,,0,,,,,,0,2,1,,,0,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,
Silver,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,0,,,,,0,,,0,2,0,,3,1,0,0,,,0,0,0,,,,,,,,0,,5,0,,0,,,,,,0,2,2,,,0,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,
Bronze,,0,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,,,,0,,,,,0,,,0,3,1,,0,1,0,1,,,0,0,0,,,,,,,,0,,3,0,,0,,,,,,0,3,0,,,0,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,
Total M,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,0,,,,0,,,,,0,,,0,6,1,,6,3,0,1,,,0,0,0,,,,,,,,0,,15,0,,0,,,,,,0,7,3,,,0,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,
Distance,,3939.225035,,,,,,,,,,5062.015085,,,,,,,,,,,,,,,,,,,,,,,,,,,105.8787177,,,394.2106089,,,,743.9496805,,,,,254.7371978,,,1001.608113,1272.496051,442.2963837,,259.5581807,725.6961544,803.129825,419.6278403,,,333.6813789,878.8771781,76.18876076,,,,,,,,418.8549371,,1003.317561,504.7854411,1100.966069,666.3853875,,,,,,911.9205677,1014.073963,148.7510332,,,485.3988378,,,,,,,5804.991083,,,,,,,,,,,,,,,1332.656765,,9040.131369,,,,,
1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
